"1005","2430  BASSETT PL, FLINT, MI, 48504","Match","Exact","2430 BASSETT PL, FLINT, MI, 48504","-83.72354,43.038475","69564784","R","26","049","000900","4003"
"2336","3713  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3713 BROWNELL BLVD, FLINT, MI, 48504","-83.72763,43.048557","69564445","L","26","049","000700","4004"
"1003","2426 BASSETT PL, FLINT, MI, 48504","Match","Exact","2426 BASSETT PL, FLINT, MI, 48504","-83.72354,43.03844","69564784","R","26","049","000900","4003"
"2334","3617 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3617 BROWNELL BLVD, FLINT, MI, 48504","-83.72762,43.047665","69564451","L","26","049","000700","4015"
"2333","3610 BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3610 BROWNELL BLVD, FLINT, MI, 48504","-83.72761,43.04763","69564451","R","26","049","000700","4016"
"1001","2426  BASSETT PL, FLINT, MI, 48504","Match","Exact","2426 BASSETT PL, FLINT, MI, 48504","-83.72354,43.03844","69564784","R","26","049","000900","4003"
"2332","3610  BROWNELL BLVD, FLINT, MI, 48504","Match","Exact","3610 BROWNELL BLVD, FLINT, MI, 48504","-83.72761,43.04763","69564451","R","26","049","000700","4016"
"4994","2112  CUMINGS AVE, FLINT, MI, 48503","Match","Exact","2112 CUMINGS AVE, FLINT, MI, 48503","-83.714355,43.002834","69573955","R","26","049","003700","1008"
"3664","3526  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3526 CLAIRMONT ST, FLINT, MI, 48503","-83.73234,42.997482","69573589","R","26","049","003600","4019"
"4995","2112 CUMINGS AVE, FLINT, MI, 48503","Match","Exact","2112 CUMINGS AVE, FLINT, MI, 48503","-83.714355,43.002834","69573955","R","26","049","003700","1008"
"4996","2215  CUMINGS AVE, FLINT, MI, 48503","Match","Exact","2215 CUMINGS AVE, FLINT, MI, 48503","-83.71501,43.00263","69573952","L","26","049","003700","1012"
"3666","3526 CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3526 CLAIRMONT ST, FLINT, MI, 48503","-83.73234,42.997482","69573589","R","26","049","003600","4019"
"4997","2302  CUMINGS AVE, FLINT, MI, ","Match","Exact","2302 CUMINGS AVE, FLINT, MI, 48503","-83.71631,43.00228","69573921","R","26","049","003700","4006"
"4998","2302 CUMINGS AVE, FLINT, MI, 48503","Match","Exact","2302 CUMINGS AVE, FLINT, MI, 48503","-83.71631,43.00228","69573921","R","26","049","003700","4006"
"3669","3574  CLAIRMONT ST, FLINT, MI, 48503","Match","Exact","3574 CLAIRMONT ST, FLINT, MI, 48503","-83.732765,42.99747","69573589","R","26","049","003600","4019"
"1009","1709  BAYBERRY LN, FLINT, MI, 48507","Match","Exact","1709 BAYBERRY LN, FLINT, MI, 48507","-83.7042,42.99047","69574546","L","26","049","013500","2017"
"3680","3717 CLAIRMONT ST, FLINT, MI, 48532","Match","Exact","3717 CLAIRMONT ST, FLINT, MI, 48532","-83.73443,42.9974","69573573","L","26","049","003600","3017"
